Area(in sq miles),Community Area Name,crimeperpop,Community Area Number,Hardship Index,Number of Records,Per Capita Income,Percent Aged 16+ Unemployed,Percent Aged 25+ Without High School Diploma,Percent Aged Under 18 Or Over 64,Percent Households Below Poverty,Percent Of Housing Crowded,Asian(%),Black(%),Crime Count,Hispanic(%),Median Income,Other(%),Popdensity,Population,White(%)
1.85,Rogers Park,0.516157494,1,39,1,23939,8.7,18.2,27.5,23.6,7.7,6.44,24.48,28080,24.14,37223,3.08,29406.48649,54402,41.85
3.53,West Ridge,0.332830178,2,46,1,23040,8.8,20.8,38.5,17.2,7.8,23.36,11.23,24034,17.55,46091,3.58,20456.37394,72211,44.28
2.35,Uptown,0.471842864,3,20,1,35787,8.9,11.8,22.2,24,3.8,8.76,20.76,26016,11.61,45711,3.79,23462.55319,55137,55.08
2.57,Lincoln Square,0.310002208,4,17,1,37524,8.2,13.4,25.5,10.9,3.4,10.99,3.43,12636,17.62,62934,3.17,15860.31128,40761,64.78
2.07,North Center,0.316408168,5,6,1,57123,5.2,4.5,26.2,7.5,0.3,4.31,1.95,10955,14.4,92.664,3.31,16726.08696,34623,76.02
3.16,Lake View,0.393617888,6,5,1,60058,4.7,2.6,17,11.4,1.1,6.87,3.49,38658,7.25,76854,2.77,31079.74684,98212,79.61
3.19,Lincoln Park,0.433504085,7,2,1,71551,5.1,3.6,21.5,12.3,0.8,5.65,4.79,29027,6.6,94087,2.8,20990.28213,66959,80.16
2.72,Near North Side,0.698848456,8,1,1,88669,7,2.5,22.6,12.9,1.9,11.34,9.23,59899,5.29,84976,2.58,31511.39706,85711,71.56
1.17,Edison Park,0.165596003,9,8,1,40959,6.5,7.4,35.3,3.3,1.1,1.46,1.07,1856,9.46,86300,0.7,9579.487179,11208,87.32
4.29,Norwood Park,0.220239557,10,21,1,32875,9,11.5,39.5,5.4,2,4.19,0.92,8072,11.85,71282,2.21,8543.356643,36651,80.83
2.35,Jefferson Park,0.270209034,11,25,1,27751,12.4,13.4,35.5,8.6,2.7,8.96,0.92,7394,22.81,60472,2.17,11644.25532,27364,65.14
3.21,Forest Glen,0.186846525,12,11,1,44164,6.8,4.9,40.5,7.5,1.1,13.41,0.96,3449,11.95,101559,1.86,5750.46729,18459,71.82
2.07,North Park,0.338303872,13,33,1,26576,9.9,14.4,39,13.2,3.9,24.62,2.56,6239,19.69,51818,2.38,8909.178744,18442,50.74
1.93,Albany Park,0.326273546,14,53,1,21323,10,32.9,32,19.2,11.3,15.79,4.25,16992,48.01,51969,2.48,26983.93782,52079,29.47
3.98,Portage Park,0.373467405,15,35,1,24336,12.6,19.3,34,11.6,4.1,4.42,1.25,24216,41.81,57031,2.18,16291.70854,64841,50.34
3.23,Irving Park,0.397244444,16,34,1,27249,10,22.4,31.6,13.1,6.3,8.16,2.25,22345,46.64,51997,2.88,17414.86068,56250,40.07
3.75,Dunning,0.280720511,17,28,1,26282,10,16.2,33.6,10.6,5.2,4.13,2.41,12078,26.61,59737,0.99,11473.33333,43025,65.87
0.99,Montclaire,0.356802826,18,50,1,22014,13.8,23.5,38.6,15.3,8.1,4.72,4.43,4647,62.3,43015,0.62,13155.55556,13024,27.93
3.94,Belmont Cragin,0.469902348,19,70,1,15461,14.6,37.3,37.3,18.7,10.8,1.49,3.14,37197,80.84,43534,1.09,20091.11675,79159,14.24
1.17,Hermosa,0.450704225,20,71,1,15089,13.1,41.6,36.4,20.5,6.9,1.39,1.49,11488,88.24,39157,1.51,21785.47009,25489,7.38
2,Avondale,0.458649077,21,42,1,20039,9.2,24.7,31,15.3,6,3.21,2.12,18218,61.84,44663,1.79,19860.5,39721,31.03
3.23,Logan Square,0.541545684,22,23,1,31908,8.2,14.8,26.2,16.8,3.2,2.72,4.66,39913,46.94,59216,2.06,22817.95666,73702,43.61
3.6,Humboldt park,1.094908291,23,85,1,13781,17.3,35.4,38,33.9,14.8,0.49,40.87,60232,52.01,,1.25,15280.83333,55011,5.38
4.57,West Town,0.644552176,24,10,1,43198,6.6,12.9,21.7,14.7,2.3,4.07,7.5,55708,26.98,75509,2.99,18912.25383,86429,58.47
7.16,Austin,1.245895763,25,73,1,15957,22.6,24.4,37.9,28.6,6.3,0.5,83,121653,11.4,31634,0.6,13637.2905,97643,4.5
1.28,West Garfield Park,1.868673205,26,92,1,10934,25.8,24.5,43.6,41.7,9.4,0.34,95.6,33154,2,23947,0.28,13860.9375,17742,1.78
1.94,East Garfield Park,1.677527111,27,83,1,12961,19.6,21.3,43.2,42.4,8.2,0.28,91.28,34651,3.52,21482,0.68,10647.42268,20656,4.25
5.75,Near West Side,0.823144670,28,15,1,44689,10.7,9.6,22.2,20.6,3.8,15.57,30.39,50844,10,72143,2.14,10742.26087,61768,41.89
3.2,North Lawndale,1.504875836,29,87,1,12034,21.2,27.6,42.7,43.1,7.4,0.28,89,53086,7,22383,1.41,11023.75,35276,2.3
4.4,South Lawndale,0.430119470,30,96,1,10402,15.8,54.8,33.8,30.7,15.2,0.25,11.05,31754,85.24,30701,0.4,16778.63636,73826,3.07
2.8,Lower West Side,0.521990640,31,76,1,16444,15.8,40.7,32.6,25.8,9.6,1.74,3.25,17957,80.48,36090,1.12,12286.07143,34401,13.42
1.58,Loop,1.196638957,32,3,1,65526,5.7,3.1,13.5,14.7,1.5,17.14,12.35,40018,6.45,93254,3.12,21165.82278,33442,60.94
1.75,Near South Side,0.525155127,33,7,1,59077,4.9,7.4,21.8,13.8,1.3,19.87,24.03,11764,6.22,78290,3.45,12800.57143,22401,46.44
0.99,Armour Square,0.493531419,34,82,1,16148,16.7,34.5,38.3,40.1,5.7,73.4,9.58,6943,3.11,24336,2.94,14210.10101,14068,10.98
