Arrest,Beat,Block,Case Number,Community Area,Date,Description,District,Domestic,FBI Code,ID,Iucr,Latitude,Location Description,Location,Longitude,Number of Records,Primary Type,Updated On,Ward,X Coordinate,Y Coordinate,Year
False,1111,047XX W OHIO ST,HY189866,25,2015-03-18 19:44:00,AGGRAVATED: HANDGUN,11,False,04B,10000092,,41.891398861,STREET,"(41.891398861, -87.744384567)",-87.744384567,1,BATTERY,10-Feb-18 3:50:01 PM,28,1144606,1903566,2015
True,725,066XX S MARSHFIELD AVE,HY190059,67,2015-03-18 23:00:00,PAROLE VIOLATION,7,False,26,10000094,4625,41.773371528,STREET,"(41.773371528, -87.665319468)",-87.665319468,1,OTHER OFFENSE,10-Feb-18 3:50:01 PM,15,1166468,1860715,2015
False,222,044XX S LAKE PARK AVE,HY190052,39,2015-03-18 22:45:00,DOMESTIC BATTERY SIMPLE,2,True,08B,10000095,486,41.81386068,APARTMENT,"(41.81386068, -87.596642837)",-87.596642837,1,BATTERY,10-Feb-18 3:50:01 PM,4,1185075,1875622,2015
False,225,051XX S MICHIGAN AVE,HY190054,40,2015-03-18 22:30:00,SIMPLE,2,False,08B,10000096,460,41.800802415,APARTMENT,"(41.800802415, -87.622619343)",-87.622619343,1,BATTERY,10-Feb-18 3:50:01 PM,3,1178033,1870804,2015
False,1113,047XX W ADAMS ST,HY189976,25,2015-03-18 21:00:00,ARMED: HANDGUN,11,False,03,10000097,,41.878064761,SIDEWALK,"(41.878064761, -87.743354013)",-87.743354013,1,ROBBERY,10-Feb-18 3:50:01 PM,28,1144920,1898709,2015
False,223,049XX S DREXEL BLVD,HY190032,39,2015-03-18 22:00:00,SIMPLE,2,False,08B,10000098,460,41.805443345,APARTMENT,"(41.805443345, -87.604283976)",-87.604283976,1,BATTERY,10-Feb-18 3:50:01 PM,4,1183018,1872537,2015
False,733,070XX S MORGAN ST,HY190047,68,2015-03-18 23:00:00,DOMESTIC BATTERY SIMPLE,7,True,08B,10000099,486,41.766402779,APARTMENT,"(41.766402779, -87.649296123)",-87.649296123,1,BATTERY,10-Feb-18 3:50:01 PM,17,1170859,1858210,2015
False,213,042XX S PRAIRIE AVE,HY189988,38,2015-03-18 21:35:00,DOMESTIC BATTERY SIMPLE,2,True,08B,10000100,486,41.817552577,APARTMENT,"(41.817552577, -87.619818523)",-87.619818523,1,BATTERY,10-Feb-18 3:50:01 PM,3,1178746,1876914,2015
True,912,036XX S WOLCOTT AVE,HY190020,59,2015-03-18 22:09:00,POSS: CANNABIS 30GMS OR LESS,9,False,18,10000101,1811,41.828138428,STREET,"(41.828138428, -87.672782106)",-87.672782106,1,NARCOTICS,10-Feb-18 3:50:01 PM,11,1164279,1880656,2015
False,511,097XX S PRAIRIE AVE,HY189964,49,2015-03-18 21:25:00,SIMPLE,5,False,08B,10000104,460,41.71745472,RESIDENCE PORCH/HALLWAY,"(41.71745472, -87.617663257)",-87.617663257,1,BATTERY,10-Feb-18 3:50:01 PM,6,1179637,1840444,2015
False,533,130XX S DR MARTIN LUTHER KING JR DR,HY189984,54,2015-03-18 21:30:00,TO VEHICLE,5,False,14,10000105,1320,41.658138493,PARKING LOT/GARAGE(NON.RESID.),"(41.658138493, -87.613672862)",-87.613672862,1,CRIMINAL DAMAGE,10-Feb-18 3:50:01 PM,9,1180907,1818839,2015
False,623,078XX S VINCENNES AVE,HY189719,69,2015-03-15 16:10:00,HARASSMENT BY TELEPHONE,6,True,26,10000108,2825,41.752406801,CTA GARAGE / OTHER PROPERTY,"(41.752406801, -87.633792381)",-87.633792381,1,OTHER OFFENSE,10-Feb-18 3:50:01 PM,17,1175130,1853144,2015
True,423,086XX S EXCHANGE AVE,HY189966,46,2015-03-18 21:14:00,UNLAWFUL POSS OF HANDGUN,4,False,15,10000109,,41.738563465,DRIVEWAY - RESIDENTIAL,"(41.738563465, -87.552678593)",-87.552678593,1,WEAPONS VIOLATION,10-Feb-18 3:50:01 PM,10,1197309,1848290,2015
False,1233,014XX S ASHLAND AVE,HY190056,28,2015-03-18 22:50:00,SIMPLE,12,False,08B,10000110,460,41.86304084,SIDEWALK,"(41.86304084, -87.666288555)",-87.666288555,1,BATTERY,10-Feb-18 3:50:01 PM,2,1165950,1893388,2015
True,1531,051XX W CHICAGO AVE,HY190019,25,2015-03-18 22:31:00,RETAIL THEFT,15,False,06,10000111,860,41.894945606,GAS STATION,"(41.894945606, -87.754874977)",-87.754874977,1,THEFT,10-Feb-18 3:50:01 PM,37,1141741,1904839,2015
False,421,077XX S KINGSTON AVE,HY189725,43,2015-03-18 12:55:00,FORCIBLE ENTRY,4,False,05,10000112,610,41.754602618,APARTMENT,"(41.754602618, -87.562650741)",-87.562650741,1,BURGLARY,10-Feb-18 3:50:01 PM,7,1194535,1854110,2015
False,1423,024XX W NORTH AVE,HY190071,24,2015-03-18 20:00:00,AUTOMOBILE,14,False,07,10000114,910,41.910312648,OTHER,"(41.910312648, -87.687806494)",-87.687806494,1,MOTOR VEHICLE THEFT,10-Feb-18 3:50:01 PM,1,1159959,1910569,2015
False,734,069XX S LOOMIS BLVD,HY190036,67,2015-03-18 21:00:00,FROM BUILDING,7,False,06,10000115,890,41.768167414,GROCERY FOOD STORE,"(41.768167414, -87.659053795)",-87.659053795,1,THEFT,10-Feb-18 3:50:01 PM,17,1168192,1858832,2015
True,512,105XX S LAFAYETTE AVE,HY190063,49,2015-03-18 22:56:00,RECKLESS CONDUCT,5,False,24,10000116,470,41.70284845,ALLEY,"(41.70284845, -87.624588931)",-87.624588931,1,PUBLIC PEACE VIOLATION,10-Feb-18 3:50:01 PM,34,1177790,1835106,2015
False,412,087XX S KIMBARK AVE,HY190068,48,2015-03-18 22:45:00,FROM BUILDING,4,False,06,10000117,890,41.736588206,BAR OR TAVERN,"(41.736588206, -87.59299436)",-87.59299436,1,THEFT,10-Feb-18 3:50:01 PM,8,1186312,1847473,2015
True,411,075XX S STONY ISLAND AVE,HY190031,43,2015-03-18 22:00:00,RETAIL THEFT,4,False,06,10000118,860,41.757614433,GROCERY FOOD STORE,"(41.757614433, -87.586115266)",-87.586115266,1,THEFT,10-Feb-18 3:50:01 PM,5,1188123,1855151,2015
True,111,0000X E LAKE ST,HZ329792,32,2014-09-01 08:00:00,EMBEZZLEMENT,1,False,12,10581023,1140,,OTHER,,,1,DECEPTIVE PRACTICE,01-Mar-18 3:52:35 PM,42,,,2014
False,2023,054XX N KENMORE AVE,HY190072,77,2015-03-18 23:55:00,STRONGARM - NO WEAPON,20,False,03,10000119,320,41.980634157,OTHER,"(41.980634157, -87.656529996)",-87.656529996,1,ROBBERY,10-Feb-18 3:50:01 PM,48,1168270,1936260,2015
False,414,078XX S CREGIER AVE,HY190073,43,2015-03-18 23:40:00,AGGRAVATED: OTHER DANG WEAPON,4,False,04B,10000120,430,41.752648838,APARTMENT,"(41.752648838, -87.580891872)",-87.580891872,1,BATTERY,10-Feb-18 3:50:01 PM,8,1189564,1853354,2015
True,1513,0000X N CENTRAL AVE,HY189969,25,2015-03-18 21:44:00,UNLAWFUL USE HANDGUN,15,False,15,10000123,,41.880934043,VEHICLE NON-COMMERCIAL,"(41.880934043, -87.764879438)",-87.764879438,1,WEAPONS VIOLATION,10-Feb-18 3:50:01 PM,29,1139051,1899715,2015
True,1034,024XX S BELL AVE,HY190060,31,2015-03-18 23:30:00,DOMESTIC BATTERY SIMPLE,10,True,08B,10000124,486,41.848024395,APARTMENT,"(41.848024395, -87.682090877)",-87.682090877,1,BATTERY,10-Feb-18 3:50:01 PM,25,1161687,1887883,2015
