Count,Primary Offense Type
43738,OFFENSE INVOLVING CHILDREN
3227,STALKING
46873,PUBLIC PEACE VIOLATION
525,OBSCENITY
6,NON-CRIMINAL (SUBJECT SPECIFIED)
10895,ARSON
1,DOMESTIC VIOLENCE
14240,GAMBLING
188944,CRIMINAL TRESPASS
404717,ASSAULT
38,NON - CRIMINAL
13866,LIQUOR LAW VIOLATION
307930,MOTOR VEHICLE THEFT
1374238,THEFT
1198679,BATTERY
249414,ROBBERY
9018,HOMICIDE
23,RITUALISM
150,PUBLIC INDECENCY
25895,CRIM SEXUAL ASSAULT
39,HUMAN TRAFFICKING
3818,INTIMIDATION
67776,PROSTITUTION
249276,DECEPTIVE PRACTICE
172,CONCEALED CARRY LICENSE VIOLATION
24213,SEX OFFENSE
752630,CRIMINAL DAMAGE
702369,NARCOTICS
143,NON-CRIMINAL
407251,OTHER OFFENSE
6559,KIDNAPPING
380103,BURGLARY
66958,WEAPONS VIOLATION
123,OTHER NARCOTIC VIOLATION
14267,INTERFERENCE WITH PUBLIC OFFICER
