null,0
(0, 0),7158
(33.3427, -118.3258),6
(33.7058, -118.2906),3
(33.706, -118.2898),18
(33.7062, -118.2917),31
(33.7065, -118.2879),3
(33.7065, -118.2928),31
(33.7067, -118.2879),3
(33.7068, -118.2879),1
(33.707, -118.2885),2
(33.707, -118.2901),8
(33.707, -118.2907),16
(33.707, -118.2912),4
(33.707, -118.2916),26
(33.707, -118.2929),9
(33.707, -118.2934),1
(33.707, -118.2939),40
(33.7071, -118.288),13
(33.7079, -118.2863),26
(33.7079, -118.2879),66
(33.7079, -118.2901),23
(33.7079, -118.2907),12
(33.7079, -118.2912),2
(33.7079, -118.2916),12
(33.7079, -118.2929),22
(33.7081, -118.2947),1
(33.7086, -118.2879),1
(33.7087, -118.2862),28
(33.7087, -118.2929),6
(33.7088, -118.2855),2
(33.7088, -118.2879),46
(33.7088, -118.2901),19
(33.7088, -118.2907),3
(33.7088, -118.2912),1
(33.7088, -118.2916),24
(33.7089, -118.2855),15
(33.7096, -118.2856),26
(33.7096, -118.2862),29
(33.7096, -118.2867),1
(33.7096, -118.2879),18
(33.7096, -118.2882),19
(33.7096, -118.2896),16
(33.7096, -118.29),18
(33.7096, -118.2906),7
(33.7096, -118.2912),1
(33.7096, -118.2916),11
(33.7096, -118.2917),26
(33.7096, -118.2929),4
(33.7099, -118.2906),3
(33.7102, -118.2856),1
(33.7105, -118.286),146
(33.7106, -118.2871),12
(33.7106, -118.2879),86
(33.7106, -118.29),16
(33.7106, -118.2907),8
(33.7106, -118.2912),3
(33.7106, -118.2916),35
(33.7106, -118.2921),1
(33.7106, -118.2929),19
(33.7108, -118.2985),11
(33.7109, -118.2994),2
(33.7112, -118.301),3
(33.7113, -118.3014),14
(33.7114, -118.2992),3
(33.7115, -118.2879),118
(33.7115, -118.2907),3
(33.7115, -118.2912),2
(33.7115, -118.2916),12
(33.7115, -118.2928),53
(33.7115, -118.2929),2
(33.7116, -118.2874),4
(33.7116, -118.2879),4
(33.7116, -118.2897),11
(33.7116, -118.2981),8
(33.7117, -118.2864),1
(33.7119, -118.2981),1
(33.7119, -118.299),2
(33.7121, -118.3033),1
(33.7122, -118.2999),1
(33.7124, -118.2879),7
(33.7124, -118.2889),5
(33.7124, -118.2907),9
(33.7124, -118.2928),1
(33.7124, -118.3042),11
(33.7125, -118.2864),8
(33.7125, -118.2871),3
(33.7125, -118.2897),18
(33.7125, -118.2911),3
(33.7125, -118.2916),12
(33.7125, -118.3008),29
(33.7128, -118.3052),2
(33.7129, -118.3018),5
(33.7132, -118.3028),6
(33.7132, -118.3061),11
(33.7133, -118.2907),7
(33.7133, -118.2973),7
(33.7134, -118.2856),1
(33.7134, -118.2864),1
(33.7134, -118.2879),3
(33.7134, -118.2889),6
(33.7134, -118.2898),10
(33.7134, -118.2916),26
(33.7134, -118.2929),3
(33.7135, -118.3037),15
(33.7135, -118.307),9
(33.7136, -118.2904),108
(33.7136, -118.2981),15
(33.7137, -118.3003),2
(33.7138, -118.3018),4
(33.7138, -118.3046),5
(33.7139, -118.2991),12
(33.714, -118.3068),6
(33.7141, -118.3089),16
(33.7142, -118.2871),2
(33.7142, -118.3055),10
(33.7143, -118.2865),2
(33.7143, -118.2879),5
(33.7143, -118.2889),2
(33.7143, -118.2898),10
(33.7143, -118.2907),5
(33.7143, -118.2912),5
(33.7143, -118.2916),45
(33.7143, -118.2929),12
(33.7143, -118.3),5
(33.7144, -118.2997),113
(33.7145, -118.3009),7
(33.7146, -118.3065),7
(33.7147, -118.3112),5
(33.7148, -118.2756),3
(33.7148, -118.3042),4
(33.7149, -118.3019),14
(33.7149, -118.3074),4
(33.7149, -118.3118),1
(33.715, -118.3052),6
(33.715, -118.3123),1
(33.7152, -118.2879),15
(33.7152, -118.2889),10
(33.7152, -118.2898),25
(33.7152, -118.2907),2
(33.7152, -118.2916),16
(33.7152, -118.2929),4
(33.7152, -118.3029),16
(33.7152, -118.3084),16
(33.7154, -118.2864),1
(33.7155, -118.2952),3
(33.7155, -118.3067),12
(33.7156, -118.3027),2
(33.7156, -118.3094),7
(33.7157, -118.3147),17
(33.7159, -118.3047),10
(33.7159, -118.3105),2
(33.716, -118.2865),1
(33.716, -118.2867),2
(33.716, -118.308),1
(33.7161, -118.2879),3
(33.7161, -118.2889),12
(33.7161, -118.2898),15
(33.7161, -118.2907),12
(33.7161, -118.2909),14
(33.7161, -118.2916),26
(33.7161, -118.2929),10
(33.7161, -118.3082),14
(33.7163, -118.3058),5
(33.7163, -118.3081),1
(33.7164, -118.2936),31
(33.7166, -118.2819),7
(33.7166, -118.3011),6
(33.7166, -118.3182),16
(33.7167, -118.2842),112
(33.7169, -118.2929),2
(33.7169, -118.2999),24
