year,total
None,655
1015,9
1016,15
1026,5
1900,5
1905,2
1906,1
1908,3
1909,3
1910,9
1911,7
1912,10
1913,9
1914,11
1915,8
1916,6
1919,1
1920,6
1922,1
1929,1
1930,1
1938,1
1940,1
1941,2
1942,2
1945,2
1946,2
1948,1
1950,3
1954,2
1955,3
1956,1
1958,1
1959,2
1960,10
1961,1
1962,3
1964,1
1965,5
1966,27
1967,13
1968,10
1969,7
1970,6
1971,3
1972,6
1973,7
1974,9
1975,8
1976,5
1977,9
1978,6
1979,9
1980,14
1981,8
1982,7
1983,6
1984,8
1985,21
1986,30
1987,16
1988,17
1989,25
1990,35
1991,29
1992,45
1993,46
1994,64
1995,75
1996,122
1997,134
1998,224
1999,342
2000,908
2001,1008
2002,1047
2003,1547
2004,2116
2005,10797
2006,539084
2007,537242
2008,528744
2009,511014
2010,509853
2011,498381
2012,504334
2013,495304
2014,491131
2015,477031
2016,468290
